,token_num,name,image_url
0,1,to the moon,https://ipfs.io/ipfs/QmYfMU8DQy4TjuLahUtp5uTMZbbN1sX9Zp1RByyzhQyNa4
1,2,art,https://ipfs.io/ipfs/QmPcQJGD9sBQfD43oqaUgEPmsMEectDQDokVMX8D5xeUmV
2,3,dumbgayretard,https://ipfs.io/ipfs/Qmd69TckuVPYuoz9taFrJnDPrEZGPNhYhaconZp8XWWzVi
3,4,skull,https://ipfs.io/ipfs/QmTTF82iBNgurB9BZcYLgcB2s9kR8HchLX3hGB9rz8YWTZ
4,5,arq,https://ipfs.io/ipfs/QmX3ba5awgdLkim2QseJ95o4v8d3vVaBr51VZkJVCDL1yB
5,6,aurora,https://ipfs.io/ipfs/QmVw2BRjXoQNKHpRF9hYNqts4BKPggqivTbRrBEff64pMy
6,7,wagmi,https://ipfs.io/ipfs/QmUmoxB39W8cQFk7iSVFZmzKHAMeYPb8vLduN3mzC4qLwc
7,8,punk,https://ipfs.io/ipfs/QmPk7mTRRGgMjRQWbTUh1S7eZZ9tzuuwmwYwLZB5H1xXLU
8,9,bull whale,https://ipfs.io/ipfs/QmfHd7XdUkfE9dw6A98399oPrr95hSvcDKzYV94ALUgrrV
9,10,bitcoin,https://ipfs.io/ipfs/QmS6h836dtBCfWYExcqEsFCYakegssTwM9ywyHXYkeL7LE
10,11,rare,https://ipfs.io/ipfs/QmR2NPTkscx43bpjqQhWnMs3oPVGqGb994CdCKpTpqve7b
11,12,sugar cane field,https://ipfs.io/ipfs/QmSrwV6UyUjPxUcL3KiMP3xhnWUZuZvJG2292fqD6vtjPg
12,13,send it,https://ipfs.io/ipfs/QmUY4breJPxdHReVvzbtVHVSp7Hn1gtBL13cbabgDzhhSN
13,14,ether,https://ipfs.io/ipfs/QmagKqX7X1hznTXr15521g24C1j8x4m79rMrRESWmiPpmL
14,15,cryptopunk,https://ipfs.io/ipfs/Qmf9gcbJiXBGqkLMmEE9Jz3BL1bAMz4RaogjjxrVb7TE17
15,16,vitalik,https://ipfs.io/ipfs/QmdYXjCoaVzc1eKzV1Yj7Lmb7A9LAJRu4skYmb3D9VVxuh
16,17,amsterdam,https://ipfs.io/ipfs/QmaHKYPVvPENQeQHZJNity3MRjrwSUG3DRxZgj59yhYNBi
17,18,asia,https://ipfs.io/ipfs/QmdwwCxZ8ENGbFM8PVdRfg5mayN39mhJCufhuZWjfxssJm
18,19,euphoria,https://ipfs.io/ipfs/QmWBGHUftnNbHsgzBKTg6ZnvQ1bYZbc3SkMqWr85Dp8NPy
19,20,ethereum,https://ipfs.io/ipfs/QmU3Rx1CQCnH2UEtLyrBzaDqq3F3x6ZCJP3fXhs8ddJmKA
20,21,supremacy,https://ipfs.io/ipfs/QmPtB5xRxPLvojLmprAH9whRxMRNRhb4vEQKWus7jndAGr
21,22,starry night,https://ipfs.io/ipfs/QmXQ9nXNn3wfqFFLMs7neDx3aRi8sydAM6HruuiwxTFFXa
22,23,anger,https://ipfs.io/ipfs/QmP2GZNP63cCfJL4oRQo3HpmRTFnr7brxCxe1A71ATLBKn
23,24,bulla lisa,https://ipfs.io/ipfs/QmVYHb5VZRjYz2anVf2LVehhqnNoUv7XyiN5aBKi1Hh4ez
24,25,bored ape yacht club,https://ipfs.io/ipfs/QmcBoxSgVSozmNqwACQWk5e3vfmCRBrMuDnbUbpy9LaP3Y
25,26,moon,https://ipfs.io/ipfs/QmSqf3Lggkc9QHapg57HYoyKtDgVAPfMi7nZQDNeuvRpEx
26,27,timing,https://ipfs.io/ipfs/QmbAmdW68SQ7Xhh8sFAaKvB2LYeCSow8JnJQQpKVSYzS5c
27,28,love,https://ipfs.io/ipfs/QmYmrjPDHroqJHaxHExbuaFyu8puTZd6LwnT7K4afRbYP7
28,29,force,https://ipfs.io/ipfs/QmYqMmGYK5QWTZg2pGrtuaQshDt8tEBhrEaDSHx2z74H1n
29,30,forever young,https://ipfs.io/ipfs/Qmdqm2EefMTqs5LLKWXD6nQHPbyJV1RhBidoZckxgxPGC3
30,31,lake forest,https://ipfs.io/ipfs/QmNrsbHWkWgAgtYGA4RGi2Bxcdd29xtee7bofsVMDTvVbm
31,32,war,https://ipfs.io/ipfs/QmYy9e42ZSV1ubtgKJ3L2pU8AcxLxZxhhwFWhAqgAMhTUx
32,33,peace,https://ipfs.io/ipfs/QmNdUUYFYixZJqCfpPoL5v2Ks8yTFoTEbj4hdoE6HoGMXQ
33,34,birth of christ,https://ipfs.io/ipfs/QmQxjbXpdUpabf89yAdHvUJYMq1FfohJWiLnePjXDk26ov
34,35,metaverse,https://ipfs.io/ipfs/Qma1iDd5qS93PnHgAHMfJiV1cGxc4jhN3Bfk9DJM69EVpr
35,36,universe,https://ipfs.io/ipfs/QmXxjZs9PqGRQkbUfquXaeitfp2zHkAxkmhPD1WCLpCikf
36,37,an attempt to fathom the ocean,https://ipfs.io/ipfs/QmcSDjHoxYHNu3btv7UjFr16Qte9qmKFXseN65VVrkpkY9
37,38,anonymous,https://ipfs.io/ipfs/QmUzxe1cdFimT9Z7NvDemypfnrM9Gxg6qfpGS9QkxCUG6H
38,39,sky,https://ipfs.io/ipfs/QmarKT5TWNARiro8qDfGWZzcDbsfBYQoD6JUkVgenEGu8s
39,40,i love you,https://ipfs.io/ipfs/QmWvkWJRvJfF2oxMhWbtPggCVfpLS4i3d1CvLx2Djbxpqf
40,41,welcome to the new world,https://ipfs.io/ipfs/QmZGDwogoBuNMaPJ62xCco1eNpPL7Yd5ugiDeSYyTVv616
41,42,seize the memes of production,https://ipfs.io/ipfs/QmXZ3yrgRwV3V2R9ARmnQYyifCm8XRD5Rd6WnUYhTv2KKw
42,43,snowcrash,https://ipfs.io/ipfs/QmU3NXLaPhkHogHVPj9nY6XHrK2qHWnN45huNc8mStp79Q
43,44,nft,https://ipfs.io/ipfs/QmSSHdDgPwYkMwRuth2hpjyM8S3T9Vw628D1DpkajsfSbw
44,45,cyberkongz,https://ipfs.io/ipfs/QmcJXjuhik5uMzW39Eimh24Ujy6R16xDY3iyLa8yqBxz2h
45,46,axie infinity,https://ipfs.io/ipfs/QmZKAHiyigTjPjKAm24WJy2jA7SKYy1QtbzZdgekYJYG1N
46,47,solana,https://ipfs.io/ipfs/Qmbz7rk65J3qJnTYrtRjzcqznMJ73Lh4P4vD7fHWpkY5dh
47,48,perfect,https://ipfs.io/ipfs/QmWbhT61HpUHZJdrrjVoW6NqpZ4jay82UAzpoQq6jvSbVX
48,49,trident,https://ipfs.io/ipfs/QmYJUwJZYTCx3zRjp9cP5JpWAyT2kMCggjCMXmNyS12smp
49,50,root,https://ipfs.io/ipfs/QmPAGQAVGg33q7mhd3CNiEEkxhYyvitJ94LjZnHmUmJxfH
50,51,graffiti,https://ipfs.io/ipfs/QmW7npLPMc8pd4TwamEhGHnMR6Fzw22XD2M6jdm7JVGoE6
51,52,sauce,https://ipfs.io/ipfs/QmWP4Rw9KU8HadP3u2ZHyFGBFHpGNHsqsCnq7VHAFVSA6i
52,53,travel,https://ipfs.io/ipfs/QmQrMAhARBkQ2AN8d6Fsnj9Y3UYsFHURE3LF8SANNDEsJm
53,54,golf,https://ipfs.io/ipfs/QmbDAXut13X5VicLLgu8h3Z7Fb4LZH3Xtr23ZfwhQWg2sk
54,55,boxing,https://ipfs.io/ipfs/QmaXD4iXGpGBvTi4hkSDprzazP3eGfrcSfrUSeDEWq2hsz
55,56,kitty,https://ipfs.io/ipfs/QmWFuYi1hpMRf8h89qKDXgnNJYE1PAkQc7QvHKopyNZ48D
56,57,money,https://ipfs.io/ipfs/QmYZfUZCwxiCRCfQY9S3Qy6hbJE9trTkMLu6mzXgRjX9i8
57,58,space,https://ipfs.io/ipfs/QmRwXPKqT7uGNm9Ypxvq2JAsYCZoD1szna1PwEa7N7WcDB
58,59,izadi,https://ipfs.io/ipfs/QmTFAedgbF3mpu2qvqpWkkGvBWN69b31nw7ncqNt5CHthw
59,60,spacekittyxd,https://ipfs.io/ipfs/QmZFMEbaCD6BJJdsvb7dfKhQWjUnmYedtuBeByZWZxbhhT
60,61,life,https://ipfs.io/ipfs/QmaZssqQbt7XK6Q2SAbz9GuJvtiF4AM4BQ8aWF7FL2YvvN
61,62,win,https://ipfs.io/ipfs/Qme7uSu9Sgc8gUdYAiT3Txw14guZ2XSmdhQPGvrJvK4Kpo
62,63,skulls,https://ipfs.io/ipfs/QmdAJLiwdgAARyTuHbyEP77VYXZXG2p66s21XNmek9VaZC
63,64,twitter,https://ipfs.io/ipfs/QmUie9joQLER6oQENuTTeCg4kwb15H7pWNWc3W1QLm54Bk
64,65, spacekitty,https://ipfs.io/ipfs/QmbDCDE2txGgtqU3SkWCgY3Su69yLSqQVeXWtRF2kKGjeh
65,66,lauren,https://ipfs.io/ipfs/Qmckg43yZFQTRvjU2WWueBscoLSZbHmHGyYwMt1bePkeLJ
66,67,tiffany,https://ipfs.io/ipfs/QmUqhvdHeS62sQr4yhyT9omcWzJFdeY2UifWn7ZJyHPVBY
67,68,crypto,https://ipfs.io/ipfs/QmVkuU5nzJLT9oR75usVRXKDtcr8MeXob6dW8DuE4az8f7
68,69,to the moon and back,https://ipfs.io/ipfs/QmayNUvMF9p4NeVUzFVvc3U1faHcj2d48V5c5CsgxcyjG5
69,70,drugs,https://ipfs.io/ipfs/QmPxGbYFH1GV2Lf66hhHuqhnKCZrgFaPVhyrjB7yi7zx4h
70,71,beach,https://ipfs.io/ipfs/QmXWKGYywXSbKRwYm8biWUTiPAnq8CMLEi19696kstcsWL
71,72,sol,https://ipfs.io/ipfs/QmVLiJkgzL646g2s6zEQfbNVQxdGgD6bKQSDGSFHVB8YLS
72,73,energy,https://ipfs.io/ipfs/QmYkNbbpqh6ioAPxAiiTB5PsBZPpeu9oTBnkSCxmuJLQgQ
73,74,meerkat,https://ipfs.io/ipfs/QmTLjtcxaHePRARRaa5QFTcdryQRsr4CofVMxHSmkjxTKs
